119,Getafe,La Liga,0.89,1.03,3.25,31.38,209.71,75.72,43.57,28.11,0.39,12.75,0.82,3.11,68.61,60.54,53.0,46.29,2.64,9.27
120,Girona,La Liga,1.29,1.2,3.79,39.11,468.64,87.92,57.9,28.5,0.71,18.96,1.46,4.0,62.46,61.69,24.11,44.59,5.81,12.35
121,Las Palmas,La Liga,1.14,1.11,3.93,38.6,357.29,83.84,49.36,24.36,0.86,14.64,1.68,5.07,69.75,61.65,35.89,42.79,4.27,12.02
122,Leganés,La Liga,0.93,0.87,2.75,35.65,283.04,80.85,43.21,19.86,0.71,9.5,1.54,4.79,70.21,59.31,36.64,40.55,3.51,12.78
123,Mallorca,La Liga,1.0,1.26,3.36,36.02,305.89,82.42,47.65,25.14,0.32,14.11,1.21,3.86,62.39,60.27,42.36,47.05,3.75,12.13
124,Osasuna,La Liga,1.22,1.33,3.33,34.62,295.67,80.43,46.96,27.74,0.93,15.41,1.44,4.96,70.0,63.6,38.63,47.56,3.7,11.56
125,Rayo Vallecano,La Liga,1.11,1.18,4.04,33.53,336.61,81.67,50.87,29.86,1.04,16.07,1.11,4.54,73.57,62.14,32.39,44.1,3.92,8.71
126,Real Betis,La Liga,1.36,1.68,4.64,36.62,375.57,84.23,52.24,29.46,1.04,19.29,1.25,3.5,67.21,61.96,34.64,45.77,4.29,9.65
127,Real Madrid,La Liga,2.11,2.08,6.07,39.91,534.82,90.02,59.59,31.18,1.36,24.96,0.96,3.29,52.86,63.18,19.07,48.13,6.27,12.06
128,Real Sociedad,La Liga,0.89,1.1,3.39,35.85,361.71,83.02,55.16,27.93,0.82,15.89,1.07,3.64,69.82,64.3,40.39,43.06,4.3,8.35
129,Real Valladolid,La Liga,0.64,0.89,2.21,28.31,289.68,82.59,44.21,19.64,0.82,10.36,2.25,5.43,66.14,60.31,34.93,45.19,3.74,15.18
130,Sevilla,La Liga,1.14,1.1,3.75,32.41,362.96,83.28,51.89,26.82,1.07,14.79,1.32,3.82,61.54,62.22,32.57,49.12,4.28,12.04
131,Valencia,La Liga,1.11,1.14,2.86,30.77,334.18,82.05,47.95,28.43,0.54,15.04,1.64,3.96,65.14,61.79,35.14,40.45,4.0,13.08
132,Villarreal,La Liga,1.81,1.91,4.93,35.85,365.44,84.68,48.55,29.07,1.59,22.48,1.41,4.44,61.26,63.6,31.04,48.93,4.44,12.58
